species_id	species_alt_id	species_name	representative_genome	gtdb_taxonomy	operational_taxonomy	count_hgm	count_ref	gut_species	new_species	cultured_species	high_quality	signalp_type
OTU-13386	252567	Ruminococcus sp.	ERS235525_24	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__	d__Bacteria;p__18;c__124;o__751;f__1498;g__6317;s__13386	90	1	Yes	No	No	Yes	gram-positive
OTU-20562	280241	Pantoea brenneri	2616644925	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Pantoea;s__	d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20562	4	6	Yes	No	Yes	Yes	gram-negative
OTU-13054	255724	Oscillospiraceae HGM13054	SRS1596808_171	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110	d__Bacteria;p__18;c__124;o__750;f__1482;g__6167;s__13054	5	0	Yes	Yes	No	Yes	gram-positive
OTU-11540	219339	Christensenellales HGM11540	SRS1596836_50	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales	d__Bacteria;p__18;c__124;o__746;f__1464;g__6055;s__11540	17	0	Yes	Yes	No	Yes	gram-positive
OTU-04917	257373	Prevotella HGM04917	SRS259515_36	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4364;s__04917	2	0	Yes	Yes	No	Yes	gram-negative
OTU-10201	250358	Lactobacillus parabuchneri	152331.16	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_G;s__Lactobacillus_G parabuchneri	d__Bacteria;p__01;c__014;o__053;f__0107;g__0484;s__10201	5	25	Yes	No	Yes	Yes	gram-positive
OTU-10880	252952	RFN20 HGM10880	SRS475667_33	d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288	d__Bacteria;p__01;c__013;o__041;f__0071;g__0238;s__10880	18	0	Yes	Yes	No	Yes	gram-positive
OTU-05282	241002	Homeothermus sp.	ERS631827_89	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Homeothermaceae;g__Homeothermus;s__	d__Bacteria;p__21;c__101;o__592;f__1147;g__4456;s__05282	2	1	Yes	No	No	Yes	gram-negative
OTU-20790	262257	Haemophilus sp.	ERS473331_29	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D	d__Bacteria;p__08;c__064;o__363;f__0707;g__2432;s__20790	14	2	Yes	No	Yes	Yes	gram-negative
OTU-11566	237688	PeH17 HGM11566	ERS396388_56	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__CAG-138;g__PeH17	d__Bacteria;p__18;c__124;o__746;f__1468;g__6096;s__11566	2	0	Yes	Yes	No	Yes	gram-positive
OTU-01721	253031	Varibaculum sp.	1870994.3	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__	d__Bacteria;p__23;c__114;o__654;f__1270;g__5242;s__01721	1	1	Yes	No	Yes	Yes	gram-positive
OTU-20898	253990	Anaerobiospirillum succiniciproducens	1120988.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Succinivibrionaceae;g__Anaerobiospirillum;s__Anaerobiospirillum succiniciproducens	d__Bacteria;p__08;c__064;o__363;f__0725;g__2526;s__20898	1	1	Yes	No	Yes	Yes	gram-negative
OTU-05026	262191	Prevotella copri	SRS144714_48	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri	d__Bacteria;p__21;c__101;o__592;f__1144;g__4368;s__05026	416	5	Yes	No	Yes	Yes	gram-negative
OTU-12087	257527	Butyrivibrio crossotus	SRS063190_17	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio_A;s__Butyrivibrio_A crossotus	d__Bacteria;p__18;c__124;o__762;f__1517;g__6479;s__12087	173	3	Yes	No	Yes	Yes	gram-positive
OTU-13285	259780	Faecalibacterium HGM13285	SRS017307_13	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	d__Bacteria;p__18;c__124;o__753;f__1494;g__6284;s__13285	18	0	Yes	Yes	No	Yes	gram-positive
OTU-10847	248037	RF39 sp.	ERS537358_60	d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-611;g__CAG-611;s__	d__Bacteria;p__01;c__014;o__047;f__0087;g__0347;s__10847	14	1	Yes	No	No	Yes	gram-positive
OTU-19508	260611	Sutterella HGM19508	SRS476034_4	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Burkholderiaceae;g__Sutterella	d__Bacteria;p__08;c__064;o__329;f__0616;g__1863;s__19508	36	0	Yes	Yes	No	Yes	gram-negative
OTU-23695	206982	Akkermansia HGM23695	ERS608607_23	d__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	d__Bacteria;p__20;c__094;o__537;f__1029;g__3837;s__23695	9	0	Yes	Yes	No	Yes	gram-negative
OTU-12866	259541	DTU089 HGM12866	ERS608475_34	d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__DTU089;g__CAG-251	d__Bacteria;p__18;c__124;o__751;f__1488;g__6212;s__12866	43	0	Yes	Yes	No	Yes	gram-positive
OTU-10053	224846	Enterococcus dispar	1139219.4	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_C;s__Enterococcus_C dispar	d__Bacteria;p__01;c__014;o__053;f__0109;g__0503;s__10053	2	4	Yes	No	Yes	Yes	gram-positive
OTU-04923	238013	Prevotella HGM04923	ERS396329_76	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4366;s__04923	3	0	Yes	Yes	No	Yes	gram-negative
OTU-04322	259119	Enorma massiliensis	165190.3	d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enorma;s__Enorma massiliensis	d__Bacteria;p__23;c__115;o__659;f__1278;g__5352;s__04322	6	5	Yes	No	Yes	Yes	gram-positive
OTU-05242	260845	Homeothermaceae HGM05242	SRS021484_36	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Homeothermaceae;g__CAG-485	d__Bacteria;p__21;c__101;o__592;f__1147;g__4442;s__05242	2	0	Yes	Yes	No	Yes	gram-negative
OTU-09914	213569	Turicibacter sanguinis	SRS015578_61	d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sanguinis	d__Bacteria;p__01;c__014;o__052;f__0101;g__0419;s__09914	5	3	Yes	No	Yes	Yes	gram-positive
OTU-11564	278699	Christensenellales HGM11564	SRS049959_8	d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales;f__CAG-138;g__CAG-226	d__Bacteria;p__18;c__124;o__746;f__1468;g__6090;s__11564	2	0	Yes	Yes	No	Yes	gram-positive
OTU-11449	257383	Clostridia sp.	SRS098571_67	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-917;g__CAG-349;s__CAG-349 sp1	d__Bacteria;p__18;c__124;o__739;f__1446;g__5989;s__11449	130	1	Yes	No	No	Yes	gram-positive
OTU-12177	254043	Lachnospiraceae HGM12177	ERS396410_82	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-882	d__Bacteria;p__18;c__124;o__762;f__1517;g__6478;s__12177	83	0	Yes	Yes	No	Yes	gram-positive
OTU-20779	260979	Haemophilus influenzae	727.550	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus;s__	d__Bacteria;p__08;c__064;o__363;f__0707;g__2432;s__20779	2	2	Yes	No	Yes	Yes	gram-negative
OTU-14145	229361	Anaeroglobus sp.	ERS396515_10	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Anaeroglobus;s__	d__Bacteria;p__18;c__123;o__722;f__1409;g__5753;s__14145	5	1	Yes	No	Yes	Yes	gram-positive
OTU-14314	257960	Fusobacterium sp.	2554235311	d__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium;s__Fusobacterium nucleatum_D	d__Bacteria;p__01;c__006;o__022;f__0037;g__0114;s__14314	3	32	Yes	No	Yes	Yes	gram-negative
OTU-04924	255617	Prevotella sp.	SRS476106_55	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella	d__Bacteria;p__21;c__101;o__592;f__1144;g__4366;s__04924	120	1	Yes	No	No	Yes	gram-negative
OTU-10135	261618	Lactobacillus ruminis	ERS396421_17	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus_B;s__Lactobacillus_B ruminis	d__Bacteria;p__01;c__014;o__053;f__0107;g__0459;s__10135	94	19	Yes	No	Yes	Yes	gram-positive
OTU-21798	262251	Acinetobacter pittii	1217672.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter pittii	d__Bacteria;p__08;c__064;o__361;f__0705;g__2423;s__21798	2	212	Yes	No	Yes	Yes	gram-negative
OTU-04769	253203	Bacteroides HGM04769	SRS294876_18	d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_B	d__Bacteria;p__21;c__101;o__592;f__1142;g__4351;s__04769	2	0	Yes	Yes	No	Yes	gram-negative
OTU-11444	238816	UBA10281 HGM11444	SRS475537_63	d__Bacteria;p__Firmicutes;c__Clostridia;o__4C28d-15;f__CAG-727;g__UBA10281	d__Bacteria;p__18;c__124;o__741;f__1452;g__6011;s__11444	15	0	Yes	Yes	No	Yes	gram-positive
OTU-02437	247219	Rothia HGM02437	ERS473172_3	d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	d__Bacteria;p__23;c__114;o__654;f__1272;g__5322;s__02437	3	0	Yes	Yes	No	Yes	gram-positive
OTU-20410	250040	Enterobacter cloacae	550.1121	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter kobei	d__Bacteria;p__08;c__064;o__363;f__0707;g__2434;s__20410	8	65	Yes	No	Yes	Yes	gram-negative
OTU-12226	255535	COE1 sp.	ERS473343_37	d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1;s__	d__Bacteria;p__18;c__124;o__762;f__1519;g__6563;s__12226	72	2	Yes	No	No	Yes	gram-positive
