	genome_id	query_name	cazyme_fam_secstat	e-value
58	ERS235498_12	ERS235498_12_k99_14644_4	GT4_secFalse	6.2e-28
59	ERS235498_12	ERS235498_12_k99_14644_7	GT4_secFalse	2.7999999999999998e-24
60	ERS235498_12	ERS235498_12_k99_14644_8	GT26_secFalse	6.299999999999999e-63
62	ERS235498_12	ERS235498_12_k99_16570_4	GT28_secFalse	4.4000000000000005e-27
90	ERS235498_12	ERS235498_12_k99_26830_23	GT2_Glycos_transf_2_secFalse	1.8e-36
91	ERS235498_12	ERS235498_12_k99_26830_24	GT2_Glycos_transf_2_secFalse	1.3999999999999998e-26
92	ERS235498_12	ERS235498_12_k99_26830_25	GT2_Glycos_transf_2_secFalse	2.3e-35
95	ERS235498_12	ERS235498_12_k99_26830_32	GT4_secFalse	3e-30
96	ERS235498_12	ERS235498_12_k99_26830_35	GT4_secFalse	3.4e-26
97	ERS235498_12	ERS235498_12_k99_26830_36	GT26_secFalse	1.7e-54
186	ERS235498_12	ERS235498_12_k99_65418_3	GH109_secFalse	1.5999999999999999e-21
302	ERS235502_46	ERS235502_46_k99_114499_37	CBM9_secFalse	9.699999999999998e-34
303	ERS235502_46	ERS235502_46_k99_114499_39	GH29_secFalse	3.4999999999999995e-106
306	ERS235502_46	ERS235502_46_k99_117461_24	GH3_secFalse	4.699999999999999e-59
307	ERS235502_46	ERS235502_46_k99_117461_9	GH23_secFalse	1.1999999999999999e-32
314	ERS235502_46	ERS235502_46_k99_125751_12	GT28_secFalse	3.8e-17
318	ERS235502_46	ERS235502_46_k99_132567_1	CE4_secFalse	1.4e-37
319	ERS235502_46	ERS235502_46_k99_141129_9	GT28_secFalse	4e-41
321	ERS235502_46	ERS235502_46_k99_142455_9	GT76_secFalse	1.3999999999999999e-24
328	ERS235502_46	ERS235502_46_k99_35080_9	GT76_secFalse	6.499999999999999e-20
329	ERS235502_46	ERS235502_46_k99_37491_2	GH25_secFalse	2.5e-44
331	ERS235502_46	ERS235502_46_k99_49341_2	GT2_Glyco_tranf_2_3_secFalse	1.5e-31
333	ERS235502_46	ERS235502_46_k99_72064_6	GT51_secFalse	2.2e-62
334	ERS235502_46	ERS235502_46_k99_77646_10	GT4_secFalse	7.4e-35
336	ERS235502_46	ERS235502_46_k99_77646_12	GT2_Glycos_transf_2_secFalse	1.7e-27
338	ERS235502_46	ERS235502_46_k99_77646_14	GT4_secFalse	5.4e-22
340	ERS235502_46	ERS235502_46_k99_77646_18	GT2_Glycos_transf_2_secFalse	1.6e-33
341	ERS235502_46	ERS235502_46_k99_77646_22	GT4_secFalse	3.8999999999999996e-32
346	ERS235502_46	ERS235502_46_k99_82104_16	GH13_39_secFalse	1.4999999999999996e-117
347	ERS235502_46	ERS235502_46_k99_82104_28	GT35_secFalse	1.6999999999999993e-237
348	ERS235502_46	ERS235502_46_k99_84797_149	GH77_secFalse	6.499999999999998e-159
350	ERS235502_46	ERS235502_46_k99_86983_35	GT2_Glycos_transf_2_secFalse	1.4999999999999998e-20
351	ERS235502_46	ERS235502_46_k99_86983_43	GT51_secFalse	6.6e-62
